"","Overall"
"zip_code.879xx",0
"zip_code.880xx",0
"zip_code.881xx",0
"zip_code.882xx",0
"zip_code.883xx",0.0393976489426023
"zip_code.884xx",0
"zip_code.888xx",0
"zip_code.889xx",0
"zip_code.890xx",0.0223117378764154
"zip_code.891xx",0.0149308834315251
"zip_code.892xx",0
"zip_code.893xx",0
"zip_code.894xx",0
"zip_code.895xx",0
"zip_code.897xx",0
"zip_code.898xx",0
"zip_code.900xx",0.0437049920216117
"zip_code.901xx",0
"zip_code.902xx",0.0368923000087811
"zip_code.903xx",0
"zip_code.904xx",0
"zip_code.905xx",0
"zip_code.906xx",0.0101047035878168
"zip_code.907xx",0.0718361963522972
"zip_code.908xx",0.00576066661496183
"zip_code.909xx",0
"zip_code.910xx",0.00102871864481936
"zip_code.911xx",0
"zip_code.912xx",0.0328286820259052
"zip_code.913xx",0.0111540104754491
"zip_code.914xx",0
"zip_code.915xx",0
"zip_code.916xx",0
"zip_code.917xx",0.0760728552906179
"zip_code.918xx",0
"zip_code.919xx",0
"zip_code.920xx",0.0100623684621444
"zip_code.921xx",0.0661549921008486
"zip_code.922xx",0.00202452622976471
"zip_code.923xx",0.00802715047762893
"zip_code.924xx",0
"zip_code.925xx",0.0200005142243403
"zip_code.926xx",0.0328858557382831
